281656475,PAC-MAN Premium,3.99,4,Games
281796108,Evernote - stay organized,0,4,Productivity
281940292,"WeatherBug - Local Weather, Radar, Maps, Alerts",0,3.5,Weather
282614216,"eBay: Best App to Buy, Sell, Save! Online Shopping",0,5,Shopping
283619399,Shanghai Mahjong,0.99,3.1,Games
284035177,Pandora - Music & Radio,0,4,Music
284666222,PCalc - The Best Calculator,9.99,4.5,Utilities
284736660,Ms. PAC-MAN,3.99,4,Games
284791396,Solitaire by MobilityWare,4.99,1.5,Games
284815117,SCRABBLE Premium,7.99,3.5,Games
284815942,Google – Search made just for mobile,0,3.5,Utilities
284847138,Bank of America - Mobile Banking,0,3.5,Finance
284862767,FreeCell,4.99,2.5,Games
284876795,TripAdvisor Hotels Flights Restaurants,0,4,Travel
284910350,"Yelp - Nearby Restaurants, Shopping & Services",0,4,Travel
285005463,Crash Bandicoot Nitro Kart 3D,2.99,1.6,Games
285994151,:) Sudoku +,2.99,5,Games
286799607,Cleartune - Chromatic Tuner,3.99,3.4,Music
286911400,Hangman.,0,3,Games
288113403,iTranslate - Language Translator & Dictionary,0,3.5,Productivity
288120394,TouchOSC,4.99,4,Music
288419283,RadarScope,9.99,4,Weather
289523017,Blackjack by MobilityWare,0,3.5,Games
289894882,White Noise,0.99,1.2,Health & Fitness
290638154,iHeartRadio – Free Music & Radio Stations,0,4,Music
281940292,WeatherChannel,0,2.5,Weather
284666222,PCalc - The BMI Calculator,1.99,1.5,Utilities
780214292,Santa was in my House! Catch Santa Camera,0.99,2,Games
487119327,Head Soccer,0,5,Games
784797900,J&J Official 7 Minute Workout,0,5,Health & Fitness
